,prd_name,prd_brand,prd_price,prd_capa,prd_ingredients,prd_exp,prd_category
0,10% 나이아신아마이드 부스터 앰플,폴라초이스,"69,000",20ml,"정제수, 나이아신아마이드, 아세틸글루코사민, 아스코빌글루코사이드, 부틸렌글라이콜, 포스포리피드, 소듐하이알루로네이트, 알란토인, 레드호그위드뿌리추출물, 글리세린, 다이포타슘글리시리제이트, 스페인감초뿌리추출물, 유비퀴논, 에피갈로카테킨갈레이트, 베타-글루칸, 판테놀, 카르노신, 제니스테인, 시트릭애씨드, 소듐시트레이트, 소듐하이드록사이드, 잔탄검, 다이소듐이디티에이, 에틸헥실글리세린, 페녹시에탄올",36개월 / 12개월,세럼
1,1025 독도 로션,라운드랩,"20,000",50ml,"정제수, 글리세린, 퀸즈랜드넛오일, 1,2-헥산다이올, 펜틸렌글라이콜, 호호바에스터, 아이리쉬모스추출물, 사탕수수추출물, 해수, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 글리세릴스테아레이트, 하이드로제네이티드폴리데센, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 카프릴릴글라이콜, 트로메타민, 소듐파이테이트, 판테놀, 스쿠알란, 부틸렌글라이콜, 토코페롤, 소듐카복시메틸베타-글루칸, 에틸헥실글리세린, 세테아릴알코올, 카보머","제조일로부터 36개월, 개봉 후 12개월",로션
2,1025 독도 토너,라운드랩,"30,000",100ml,"정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이","제조일로부터 36개월, 개봉 후 12개월 이내 사용",스킨토너
3,"11년간, 1등 잡티세럼",아이소이,"54,000",20ml+20ml+15ml,"정제수, 다마스크장미꽃수, 글리세린, 에탄올,알부틴, 베타인, 트레할로오스, 다마스크장미꽃오일, 비타민나무열매추출물, 아사이팜열매추출물, 로우스위트블루베리추출물, 인디안구스베리열매추출물, 크랜베리추출물, 바위돌꽃뿌리추출물, 고삼뿌리추출물, 블랙윌로우나무껍질추출물, 약모밀추출물, 잔탄검, 알란토인, 판테놀, 붉나무충영추출물, 올리브나무잎추출물, 감국꽃추출물, 회화나무싹추출물, 꿀풀잎추출물, 밤껍질추출물, 흰버드나무껍질추출물, 병풀추출물, 부틸렌글라이콜, 1,2-헥산다이올, 포트마리골드꽃추출물, 황금추출물, 모란뿌리추출물, 스페인감초뿌리추출물 *아이소이에서 사용하는 에탄올은 식물발효성분입니다","제조일자로부터 3년, 개봉 후 6개월 내 사용권장",세럼
4,1번 진정 맑게담은 청초토너,넘버즈인,"40,000",300ml,"병풀추출물, 약모밀추출물, 감초뿌리추출물, 1,2-헥산다이올, 다이프로필렌글라이콜, 프로판다이올,부틸렌글라이콜, 글리세린, 히아신스전초추출물, 하수오전초추출물, 카보머, 하이드록시에틸셀룰로오스, 알지닌, 알란토인, 다이소듐이디티에이, 알바수련꽃추출물, 베타인, 판테놀",[본품] 제조일로부터 36개월 / 개봉 후 12개월 이내 사용,스킨토너
5,3번 결광가득 에센스 토너,넘버즈인,"32,000",300ml,"정제수, 다이프로필렌글라이콜, 글리세레스-26, 1,2-헥산다이올, 나이아신아마이드, 부틸렌글라이콜, 글리세린, 메틸글루세스-20, 메도우스위트추출물, 락토코쿠스/녹두추출물발효여과물, 락토바실러스/쌀발효물, 클로렐라발효물, 락토바실러스/조류추출발효물, 효모/포도발효추출물, 락토바실러스/호박발효추출물, 락토바실러스/콩발효추출물, 락토바실러스/콩추출물발효여과물, 효모/쌀발효여과추출물, 효모/보리씨발효여과물, 효모/칼슘발효물, 효모/슈가캘프발효물, 효모/감자추출물발효여과물, 락토바실러스/여바산타발효추출물, 락토바실러스/부레옥잠발효물, 락토바실러스/호밀가루발효물, 락토바실러스/히비스커스꽃발효여과물, 락토바실러스/우유발효여과물, 락토바실러스/홍삼발효여과물, 락토바실러스/아세로라체리발효물, 락토바실러스발효물, 락토바실러스발효용해여과물, 락토코커스/우유발효용해물, 락토코쿠스발효물, 락토코쿠스발효추출물, 락토코쿠스발효용해물, 스트렙토코쿠스 테르모필루스발효물, 흑효모발효여과물, 비피다발효여과물, 비피다발효추출물, 류코노스톡/무발효여과물, 락토바실러스/고추냉이뿌리발효추출물, 락토바실러스/석류발효추출물, 바실러스/글루타믹애씨드발효여과물, 바실러스/쌀겨추출물/콩추출물발효여과물, 모나스커스/쌀발효물, 효모/쌀겨발효여과추출물, 효모/쌀겨발효물, 락토바실러스/배즙발효여과물, 피키아발효용해여과물, 알테로모나스발효추출물, 효모/율무씨발효여과물, 효모/콩단백질발효물 , 스핑고모나스발효추출물, 효모/공작석발효물, 효모발효물, 효모발효여과물, 스키조사카로미세스발효여과물, 아스퍼질러스발효물, 아스퍼질러스/글루코오스/콩/전분발효여과물, 센티드제라늄꽃오일 , 소듐하이알루로네이트, 폴리글리세릴-10라우레이트, 세테아릴알코올, 베타인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 폴리쿼터늄-51, 하이드록시에틸셀룰로오스, 아데노신, 제라니올, 시트로넬올",제조일로부터 36개월 / 개봉 후 12개월 이내 사용,스킨토너
6,3번 보들보들 결 세럼,넘버즈인,"30,000",15ml,"비피다발효용해물, 갈락토미세스발효여과물, 부틸렌글라이콜, 메틸글루세스-20, 정제수, 나이아신아마이드, 피이지-90, 1, 2-헥산다이올, 글리세린, 스쿠알란, 알테로모나스발효추출물, 실크추출물, 염소유추출물, 소듐하이알루로네이트, 판테놀, 아데노신, 글리세레스-26, 잔탄검, 폴리글리세릴-3다이스테아레이트, 글리세릴스테아레이트에스이, 글리세릴스테아레이트시트레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 카보머, 트로메타민, 에틸헥실글리세린, 카프릴릴글라이콜, 트로폴론, 다이소듐이디티에이",제조일로부터 36개월 / 개봉 후 12개월,세럼
7,4번 메이크업 찰떡 미네랄 토너,넘버즈인,"24,000",50ml,"온천수, 1,2-헥산다이올, 메틸프로판다이올, 글리세린, 나이아신아마이드, 솔비톨, 정제수, 자일리톨, 하이드록시에틸우레아, 글루코노락톤, 소듐폴리스타이렌설포네이트, 하이드록시에틸셀룰로오스, 폴리글리세릴-10라우레이트, 베타인살리실레이트, 폴리쿼터늄-51, 다이소듐이디티에이, 노니추출물, 파파야열매추출물, 부틸렌글라이콜, 마데카소사이드, 병풀추출물, 펜틸렌글라이콜, 호장근뿌리추출물, 황금추출물, 녹차추출물, 스페인감초뿌리추출물, 소듐하이알루로네이트, 마트리카리아꽃추출물, 로즈마리잎추출물, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트",제조일로부터 36개월 / 개봉 후 12개월 이내 사용,스킨토너
8,4번 탱글푸딩 콜라겐 73% 세럼,넘버즈인,"30,000",50ml,"콜라겐추출물, 부틸렌글라이콜, 정제수, 1,2-헥산다이올, 글리세린, 글리세레스-26, 나이아신아마이드, 피이지-240/에이치디아이코폴리머비스-데실테트라데세스-20에터, 카프릴릭/카프릭트라이글리세라이드, 메틸프로판다이올, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 하이드록시에틸우레아, 셀룰로오스검, 다이카프릴릴에터, 카프릴릴메티콘, 글리세릴폴리메타크릴레이트, 글리세릴스테아레이트, 장미추출물, 포도주추출물, 수크로오스, 아데노신, 다이소듐이디티에이, 미네랄솔트, 소듐하이알루로네이트, 포타슘라우레이트, 토코페롤, 포타슘하이알루로네이트, 에틸헥실글리세린, 하이드롤라이즈드엘라스틴, 향료, 하이드롤라이즈드케라틴, 하이드롤라이즈드실크, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 다이메틸실란올하이알루로네이트, 카프릴릴글라이콜, 하이드로제네이티드레시틴, 소듐포스페이트, 팔미토일트라이펩타이드-5, 아세틸헥사펩타이드-8, 올리고펩타이드-3이드-5, 아세틸헥사펩타이드-8, 올리고펩타이드-3",제조일로부터 24개월 / 개봉 후 12개월,세럼
9,5번 글루타치온C 흔적 앰플,넘버즈인,"46,000",30ml+30ml,"월귤추출물, 부틸렌글라이콜, 나이아신아마이드 (50,000ppm), 판테놀(50,000ppm), 트라넥사믹애씨드(40,000ppm), 정제수, 1,2-헥산다이올, 네오펜틸글라이콜다이카프레이트, 카프릴릭/카프릭트라이글리세라이드, 솔비톨, 비피다발효용해물, 아이리쉬모스추출물, 시어버터, 사탕수수추출물, 알파-알부틴, 소듐하이알루로네이트, 인도멀구슬나무꽃추출물, 홀리바질잎추출물, 인도멀구슬나무잎추출물, 울금뿌리추출물, 참산호말추출물, 흰목이버섯추출물, 펜틸렌글라이콜, 글리세린, 3-O-에틸아스코빅애씨드, 비사보롤, 트로메타민, 에틸헥실글리세린, 아데노신, 하이드로제네이티드레시틴, 알란토인, 글루타티온(100ppm), 세라마이드엔피, 베타-글루칸, 다이포타슘글리시리제이트, 토코페롤, 아스코빅애씨드, 아스코빌글루코사이드, 토코페릴아세테이트, 하이드록시프로필사이클로덱스트린, 유비퀴논, 티옥틱애씨드, 포타슘하이드록사이드, 베헤닐알코올, 카보머, 잔탄검, 다이소듐이디티에이",[본품] 제조일로부터 36개월 / 개봉 후 12개월 이내 사용,세럼
