eigenvalue,% of variance,% of variance (cumulative)
0.024,1.47%,1.47%
0.020,1.23%,2.71%
0.015,0.92%,3.63%
0.014,0.88%,4.51%
0.014,0.85%,5.35%
0.013,0.79%,6.14%
0.012,0.74%,6.89%
0.012,0.71%,7.60%
0.011,0.69%,8.29%
0.011,0.64%,8.94%
0.010,0.62%,9.56%
0.010,0.59%,10.15%
0.010,0.58%,10.73%
0.009,0.58%,11.31%
0.009,0.55%,11.86%
0.009,0.55%,12.41%
0.009,0.54%,12.95%
0.009,0.54%,13.49%
0.009,0.52%,14.01%
0.008,0.52%,14.53%
0.008,0.51%,15.04%
0.008,0.50%,15.54%
0.008,0.50%,16.05%
0.008,0.49%,16.54%
0.008,0.49%,17.02%
0.008,0.48%,17.51%
0.008,0.48%,17.99%
0.008,0.47%,18.46%
0.008,0.46%,18.92%
0.008,0.46%,19.38%
0.008,0.46%,19.83%
0.007,0.45%,20.28%
0.007,0.44%,20.72%
0.007,0.44%,21.16%
0.007,0.43%,21.59%
0.007,0.43%,22.02%
0.007,0.42%,22.44%
0.007,0.41%,22.85%
0.007,0.41%,23.26%
0.007,0.41%,23.67%
0.007,0.40%,24.07%
0.007,0.40%,24.47%
0.007,0.40%,24.87%
0.006,0.39%,25.26%
0.006,0.39%,25.65%
0.006,0.38%,26.03%
0.006,0.38%,26.40%
0.006,0.37%,26.77%
0.006,0.36%,27.14%
0.006,0.36%,27.49%
0.006,0.35%,27.85%
0.006,0.35%,28.20%
0.006,0.35%,28.54%
0.006,0.34%,28.88%
0.006,0.33%,29.22%
0.005,0.33%,29.55%
0.005,0.33%,29.88%
0.005,0.33%,30.21%
0.005,0.32%,30.53%
0.005,0.32%,30.85%
0.005,0.32%,31.17%
0.005,0.31%,31.48%
0.005,0.31%,31.80%
0.005,0.31%,32.11%
0.005,0.31%,32.41%
0.005,0.31%,32.72%
0.005,0.30%,33.02%
0.005,0.30%,33.32%
0.005,0.30%,33.61%
0.005,0.30%,33.91%
0.005,0.29%,34.20%
0.005,0.29%,34.50%
0.005,0.29%,34.78%
0.005,0.29%,35.07%
0.005,0.29%,35.36%
0.005,0.28%,35.64%
0.005,0.28%,35.92%
0.005,0.28%,36.19%
0.005,0.27%,36.47%
0.005,0.27%,36.74%
0.004,0.27%,37.01%
0.004,0.27%,37.28%
0.004,0.26%,37.54%
0.004,0.26%,37.81%
0.004,0.26%,38.06%
0.004,0.26%,38.32%
0.004,0.25%,38.58%
0.004,0.25%,38.83%
0.004,0.25%,39.08%
0.004,0.25%,39.32%
0.004,0.24%,39.57%
0.004,0.24%,39.81%
0.004,0.24%,40.05%
0.004,0.24%,40.28%
0.004,0.24%,40.52%
0.004,0.23%,40.75%
0.004,0.23%,40.98%
0.004,0.23%,41.21%
0.004,0.23%,41.44%
0.004,0.23%,41.67%
0.004,0.22%,41.89%
0.004,0.22%,42.11%
0.004,0.22%,42.33%
0.004,0.22%,42.55%
0.004,0.22%,42.77%
0.004,0.22%,42.98%
0.004,0.21%,43.20%
0.003,0.21%,43.41%
0.003,0.21%,43.62%
0.003,0.21%,43.83%
0.003,0.21%,44.04%
0.003,0.21%,44.24%
0.003,0.21%,44.45%
0.003,0.21%,44.66%
0.003,0.20%,44.86%
0.003,0.20%,45.06%
0.003,0.20%,45.27%
0.003,0.20%,45.47%
0.003,0.20%,45.67%
0.003,0.20%,45.87%
0.003,0.20%,46.07%
0.003,0.20%,46.27%
0.003,0.19%,46.46%
0.003,0.19%,46.66%
0.003,0.19%,46.85%
0.003,0.19%,47.04%
0.003,0.19%,47.23%
0.003,0.19%,47.42%
0.003,0.19%,47.61%
0.003,0.18%,47.79%
0.003,0.18%,47.97%
0.003,0.18%,48.16%
0.003,0.18%,48.34%
0.003,0.18%,48.52%
0.003,0.18%,48.69%
0.003,0.18%,48.87%
0.003,0.18%,49.05%
0.003,0.17%,49.22%
0.003,0.17%,49.39%
0.003,0.17%,49.57%
0.003,0.17%,49.74%
0.003,0.17%,49.91%
0.003,0.17%,50.08%
0.003,0.17%,50.25%
0.003,0.17%,50.41%
0.003,0.17%,50.58%
0.003,0.16%,50.74%
0.003,0.16%,50.91%
0.003,0.16%,51.07%
0.003,0.16%,51.23%
0.003,0.16%,51.39%
0.003,0.16%,51.55%
0.003,0.16%,51.71%
0.003,0.16%,51.87%
0.003,0.16%,52.03%
0.003,0.16%,52.18%
0.003,0.16%,52.34%
0.003,0.15%,52.49%
0.003,0.15%,52.65%
0.003,0.15%,52.80%
0.002,0.15%,52.95%
0.002,0.15%,53.10%
0.002,0.15%,53.25%
0.002,0.15%,53.40%
0.002,0.15%,53.55%
0.002,0.15%,53.70%
0.002,0.15%,53.84%
0.002,0.15%,53.99%
0.002,0.15%,54.13%
0.002,0.14%,54.28%
0.002,0.14%,54.42%
0.002,0.14%,54.56%
0.002,0.14%,54.70%
0.002,0.14%,54.84%
0.002,0.14%,54.98%
0.002,0.14%,55.12%
0.002,0.14%,55.26%
0.002,0.14%,55.40%
0.002,0.14%,55.54%
0.002,0.14%,55.67%
0.002,0.13%,55.81%
0.002,0.13%,55.94%
0.002,0.13%,56.07%
0.002,0.13%,56.21%
0.002,0.13%,56.34%
0.002,0.13%,56.47%
0.002,0.13%,56.60%
0.002,0.13%,56.73%
0.002,0.13%,56.86%
0.002,0.13%,56.98%
0.002,0.13%,57.11%
0.002,0.13%,57.24%
0.002,0.13%,57.36%
0.002,0.12%,57.49%
0.002,0.12%,57.61%
0.002,0.12%,57.74%
0.002,0.12%,57.86%
0.002,0.12%,57.98%
0.002,0.12%,58.10%
0.002,0.12%,58.22%
0.002,0.12%,58.34%
0.002,0.12%,58.46%
0.002,0.12%,58.58%
0.002,0.12%,58.69%
0.002,0.12%,58.81%
0.002,0.12%,58.93%
0.002,0.12%,59.04%
0.002,0.11%,59.16%
0.002,0.11%,59.27%
0.002,0.11%,59.38%
0.002,0.11%,59.50%
0.002,0.11%,59.61%
0.002,0.11%,59.72%
0.002,0.11%,59.83%
0.002,0.11%,59.94%
0.002,0.11%,60.05%
0.002,0.11%,60.16%
0.002,0.11%,60.26%
0.002,0.11%,60.37%
0.002,0.11%,60.48%
0.002,0.11%,60.58%
0.002,0.11%,60.69%
0.002,0.10%,60.79%
0.002,0.10%,60.90%
0.002,0.10%,61.00%
0.002,0.10%,61.11%
0.002,0.10%,61.21%
0.002,0.10%,61.31%
0.002,0.10%,61.41%
0.002,0.10%,61.52%
0.002,0.10%,61.62%
0.002,0.10%,61.72%
0.002,0.10%,61.82%
0.002,0.10%,61.92%
0.002,0.10%,62.01%
0.002,0.10%,62.11%
0.002,0.10%,62.21%
0.002,0.10%,62.31%
0.002,0.10%,62.40%
0.002,0.10%,62.50%
0.002,0.10%,62.60%
0.002,0.10%,62.69%
0.002,0.09%,62.79%
0.002,0.09%,62.88%
0.002,0.09%,62.97%
0.002,0.09%,63.07%
0.002,0.09%,63.16%
0.002,0.09%,63.25%
0.002,0.09%,63.34%
0.001,0.09%,63.43%
0.001,0.09%,63.52%
0.001,0.09%,63.61%
0.001,0.09%,63.70%
0.001,0.09%,63.79%
0.001,0.09%,63.88%
0.001,0.09%,63.97%
0.001,0.09%,64.06%
0.001,0.09%,64.15%
0.001,0.09%,64.23%
0.001,0.09%,64.32%
0.001,0.09%,64.41%
0.001,0.09%,64.50%
0.001,0.09%,64.58%
0.001,0.09%,64.67%
0.001,0.09%,64.75%
0.001,0.08%,64.84%
0.001,0.08%,64.92%
0.001,0.08%,65.00%
0.001,0.08%,65.09%
0.001,0.08%,65.17%
0.001,0.08%,65.25%
0.001,0.08%,65.34%
0.001,0.08%,65.42%
0.001,0.08%,65.50%
0.001,0.08%,65.58%
0.001,0.08%,65.66%
0.001,0.08%,65.74%
0.001,0.08%,65.82%
0.001,0.08%,65.90%
0.001,0.08%,65.98%
0.001,0.08%,66.06%
0.001,0.08%,66.14%
0.001,0.08%,66.22%
0.001,0.08%,66.30%
0.001,0.08%,66.38%
0.001,0.08%,66.45%
0.001,0.08%,66.53%
0.001,0.08%,66.61%
0.001,0.08%,66.68%
0.001,0.08%,66.76%
0.001,0.08%,66.84%
0.001,0.08%,66.91%
0.001,0.08%,66.99%
0.001,0.08%,67.06%
0.001,0.08%,67.14%
0.001,0.07%,67.21%
0.001,0.07%,67.29%
0.001,0.07%,67.36%
0.001,0.07%,67.44%
0.001,0.07%,67.51%
0.001,0.07%,67.58%
0.001,0.07%,67.66%
0.001,0.07%,67.73%
0.001,0.07%,67.80%
0.001,0.07%,67.87%
0.001,0.07%,67.95%
0.001,0.07%,68.02%
0.001,0.07%,68.09%
0.001,0.07%,68.16%
0.001,0.07%,68.23%
0.001,0.07%,68.30%
0.001,0.07%,68.37%
0.001,0.07%,68.44%
0.001,0.07%,68.51%
0.001,0.07%,68.58%
0.001,0.07%,68.65%
0.001,0.07%,68.72%
0.001,0.07%,68.79%
0.001,0.07%,68.86%
0.001,0.07%,68.93%
0.001,0.07%,69.00%
0.001,0.07%,69.06%
0.001,0.07%,69.13%
0.001,0.07%,69.20%
0.001,0.07%,69.27%
0.001,0.07%,69.33%
0.001,0.07%,69.40%
0.001,0.07%,69.47%
0.001,0.07%,69.53%
0.001,0.07%,69.60%
0.001,0.07%,69.66%
0.001,0.07%,69.73%
0.001,0.07%,69.79%
0.001,0.07%,69.86%
0.001,0.06%,69.92%
0.001,0.06%,69.99%
0.001,0.06%,70.05%
0.001,0.06%,70.12%
0.001,0.06%,70.18%
0.001,0.06%,70.25%
0.001,0.06%,70.31%
0.001,0.06%,70.38%
0.001,0.06%,70.44%
0.001,0.06%,70.50%
0.001,0.06%,70.57%
0.001,0.06%,70.63%
0.001,0.06%,70.69%
0.001,0.06%,70.75%
0.001,0.06%,70.82%
0.001,0.06%,70.88%
0.001,0.06%,70.94%
0.001,0.06%,71.00%
0.001,0.06%,71.06%
0.001,0.06%,71.12%
0.001,0.06%,71.19%
0.001,0.06%,71.25%
0.001,0.06%,71.31%
