INGR_KOR_NAME,INGR_ENG_NAME,CAS_NO,ORIGIN_MAJOR_KOR_NAME,INGR_SYNONYM
가공소금,,,,
가지열매추출물,Solanum Melongena (Eggplant) Fruit Extract,84012-19-1,이 원료는 가지(Eggplant) Solanum melongena의 열매에서 추출한 것이다.,가지추출물
구멍쇠미역추출물,Agarum Cribrosum Extract,,이 원료는 조류의 일종인 구멍쇠미역 Agarum cribosum에서 추출한 것이다.,
루핀아미노산,Lupine Amino Acids,,이 원료는 루핀 단백질의 완전 가수분해로 얻은 아미노산의 혼합물이다.,
류신,Leucine,"328-39-2(DL-),61-90-5(L-)",이 원료는 다음의 구조를 갖는 아미노산이다.,
류코노스톡/무발효여과물,Leuconostoc/Radish Root Ferment Filtrate,,이 원료는 미생물의 일종인 Leuconostoc으로 무 Raphanus sativus의 뿌리를 발효하여 여과한 것이다.,
백혈구추출물,Leukocyte Extract,,이 원료는 백혈구에서 추출한 것이다.,류코사이트추출물
리나칸투스 콤무니스추출물,Rhinacanthus Communis Extract,,이 원료는 Rhinacanthus communis의 전초에서 추출한 것이다.,
리날룰,Linalool,78-70-6,이 원료는 다음의 구조를 갖는 터펜이다.,
리날릴아세테이트,Linalyl Acetate,115-95-7,이 원료는 다음의 구조를 갖는 리날로올과 아세틱애씨드의 에스터이다.,
리놀레닉애씨드,Linolenic Acid,463-40-1,이 원료는 주로 다음의 구조를 갖는 불포화 지방산이다.,
리놀레아마이드엠이에이,Linoleamide MEA,"10015-67-5,68171-52-8",이 원료는 리놀레익애씨드의 에탄올아마이드 혼합물이다.,
구상나무잎가루,Abies Koreana Leaf Powder,,이 원료는 구상나무 Abies koreana의 잎을 건조하여 가루로 한 것이다.,
리놀레아미도프로필다이메틸아민다이머다이리놀리에이트,Linoleamidopropyl Dimethylamine Dimer Dilinoleate,125804-10-6,이 원료는 리놀레익애씨드 다이머와 리놀레아미도프로필다이메틸아민의 염이다.,리놀레아미도프로필디메칠아민다이머디리놀리에이트
리놀레아미도프로필에틸다이모늄에토설페이트,Linoleamidopropyl Ethyldimonium Ethosulfate,99542-23-1,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,리놀레아미도프로필에칠디모늄에토설페이트
리놀레아미도프로필피지-다이모늄클로라이드포스페이트,Linoleamidopropyl PG-Dimonium Chloride Phosphate,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다. RCO-는 리놀레익 애씨드 라디칼을 대표한다.,리놀레아미도프로필피지-디모늄클로라이드포스페이트
리놀레아미도프로필피지-다이모늄클로라이드포스페이트다이메티콘,Linoleamidopropyl PG-Dimonium Chloride Phosphate Dimethicone,179005-04-0,이 원료는 리놀레아미도프로필피지-다이모늄클로라이드포스페이트와 다이메티콘의 반응으로 얻은 물질이다.,리놀레아미도프로필피지-디모늄클로라이드포스페이트디메치콘
리놀레익애씨드,Linoleic Acid,"342889-37-6 	,60-33-3",이 원료는 주로 다음의 구조를 갖는 불포화 지방산이다.,
리마콩씨추출물,Phaseolus Lunatus (Green Bean) Seed Extract,85085-22-9,이 원료는 리마콩(Gren Bean) Phaseolus Lunatus의 씨에서 추출한 것이다.,리마콩추출물
리모넨,Limonene,"68647-72-3 (generic),5989-27-5(D-),7705-13-7(D-),138-86-3 (DL-)","이 원료는 d-리모넨, l-리모넨 또는 (라세믹) dl-리모넨 가운데 한 개 이상의 입체이성체로 이루어진 터펜이다.",
리모니아 아키디시마목부가루,Limonia Acidissima Wood Powder,,이 원료는 Limonia acidissima의 목부를 건조하여 가루로 한 것이다.,리모니아 아시디씨마나무가루
리보플라빈,"Riboflavin,Lactoflavin",83-88-5,이 원료는 다음의 구조를 갖는 유기화합물이다.,
구상나무잎추출물,Abies Koreana Leaf Extract,,이 원료는 구상나무 Abies koreana의 잎에서 추출한 것이다.,
리씨열매오일,Litsea Cubeba Fruit Oil,68855-99-2,이 원료는 리씨 Litsea cubeba 열매에서 추출한 휘발성 오일이다.,
리치과피추출물,Litchi Chinensis Pericarp Extract,91722-81-5,이 원료는 리치 Litchi chinensis과피의 추출물이다.,
리치씨추출물,Litchi Chinensis Seed Extract,,이 원료는 리치 Litchi chinensis의 씨에서 추출한 것이다.,
리치추출물,Litchi Chinensis Fruit Extract,,이 원료는 리치 Litchi chinensis의 열매에서 추출한 것이다.,"리치열매추출물,여지열매추출물"
리토탐니온 칼카룸가루,Lithothamnion Calcareum Powder,,이 원료는 홍조류의 일종인 Lithothamnion calcareum(=Phymatolithon calcareum)을 건조하여 가루로 한 것이다.,리토탐니움 칼카룸가루
리튬마그네슘소듐실리케이트,Lithium Magnesium Sodium Silicate,53320-86-8,"이 원료는 주로 리튬, 마그네슘 및 소듐실리케이트로 구성된 합성규산염 점토 물질이다.",
리튬스테아레이트,Lithium Stearate,,이 원료는 다음의 구조를 갖는 스테아릭애씨드의 리튬염이다.,
글루티너스리트세아나무껍질추출물,Litsea Glutinosa Bark Extract,,이 원료는 Litsea glutinosa의 껍질에서 추출한 것이다.,
리파아제,Lipase,,이 원료는 트라이글리세라이드를 가수분해하는 효소이다.,
리피아 시도이데스잎오일,Lippia Sidoides Leaf Oil,,이 원료는 Lippia sidoides의 잎에서 얻은 휘발성 오일이다.,
구아검,Cyamopsis Tetragonoloba (Guar) Gum,,이 원료는 구아(Guar) Cyamopsis tetragonoloba의 분쇄한 내배유에서 얻은 수지성 물질이다.,
유럽피나무꽃추출물,Tilia Europaea Flower Extract,,이 원료는 유럽피나무 Tilia europaea의 꽃에서 추출한 것이다.,린덴꽃추출물
마가목추출물,Sorbus Commixta Extract,,이 원료는 마가목 Sorbis commixta의 전초에서 추출한 것이다.,
마그네슘글루코네이트,Magnesium Gluconate,,이 원료는 다음의 구조를 갖는 글루코닉애씨드의 마그네슘염이다.,
마그네슘나이트레이트,Magnesium Nitrate,,이 원료는 다음의 구조를 갖는 무기염이다.,
마그네슘라우레스-8설페이트,Magnesium Laureth-8 Sulfate,,이 원료는 다음의 구조를 갖는 라우레스-8의 설퓨릭애씨드 에스터의 마그네슘염이다 : n 은 평균8의 값을 갖는다.,
마그네슘라우레스설페이트,Magnesium Laureth Sulfate,,이 원료는 주로 다음의 구조를 갖는 에톡실화 된 라우릴설페이트의 마그네슘염이다. : n은 주로 1과 4 사이의 값을 갖는다.,
마그네슘라우릴설페이트,Magnesium Lauryl Sulfate,,이 원료는 다음의 구조를 갖는 라우릴설페이트의 마그네슘염이다.,
마그네슘락테이트,Magnesium Lactate,,이 원료는 다음의 구조를 갖는 락틱애씨드 이다.,
마그네슘미리스테이트,Magnesium Myristate,,이 원료는 주로 다음의 구조를 갖는 미리스틱애씨드의 마그네슘염이다.,
마그네슘살리실레이트,Magnesium Salicylate,,이 원료는 다음의 구조를 갖는 살리실릭애씨드의 마그네슘염이다.,
구아노신,Guanosine,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
마그네슘설페이트,Magnesium Sulfate,,이 원료는 다음의 구조를 갖는 무기염이다.,
마그네슘스테아레이트,Magnesium Stearate,,이 원료는 주로 다음의 구조를 갖는 스테아릭애씨드의 마그네슘염이다.,
마그네슘시트레이트,Magnesium Citrate,,이 원료는 시트릭애씨드의 마그네슘염이다.,
마그네슘실리케이트,Magnesium Silicate,,이 원료는 주로 다음의 구조로 이루어진 다양한 조성의 무기염이다.,
