제품명,브랜드,가격,상품정보,썸네일,용량,유통기한,성분
트릭세라 로션,아벤느,"33,000","['내용물의 용량 또는 중량 정품: 200ml / 증정품: 100ml', '제품 주요 사양 민감성, 건성', '사용기한(또는 개봉 후 사용기간) 개봉전 3년, 개봉 후 1년이내 사용권장', '사용방법 마사지 하듯이 바릅니다.', '건조한 경우 하루 1회 내지 2회 사용합니다.', '진물이 난 상처에는 바르지 않습니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 화장품제조업자 : 피에르파브르더모코스메틱 , 화장품책임판매업자 : 피에르파브르더모코스메틱코리아(유)', '제조국 프랑스', '화장품법에 따라 기재해야 하는 모든 성분 아벤느온천수(아쿠아),글리세린,카프릴릭/카프릭트리글리세라이드,이소프로필팔미테이트,프로필렌글라이콜디카프레이트,글리세릴스테아레이트,피이지-100스테아레이트,미레스-3미리스테이트,토코페릴아세테이트,달맞이꽃오일,카프릴릴글라이콜,글라이신,펜틸람노사이드,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,카보머, 벤조익애씨드,정제수,소듐하이드록사이드,향료,피이지-400,콩추출물,피이지-32,토코페롤', '', '클로페네신, 페녹시에탄올, 소듐하이드록사이드', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '', '품질보증기준 본 제품은 공정거래위원회 고시 소비자분쟁해결기준에 의거 교환 또는 보상받을 수 있습니다.', '소비자상담 전화번호 1899-4802']","['./prdimgs/page_1_prd_0_thumb1.jpg', './prdimgs/page_1_prd_0_thumb2.jpg']",100ml,"개봉전 3년, 개봉 후 1년이내 사용권장","아벤느온천수(아쿠아),글리세린,카프릴릭/카프릭트리글리세라이드,이소프로필팔미테이트,프로필렌글라이콜디카프레이트,글리세릴스테아레이트,피이지-100스테아레이트,미레스-3미리스테이트,토코페릴아세테이트,달맞이꽃오일,카프릴릴글라이콜,글라이신,펜틸람노사이드,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,카보머, 벤조익애씨드,정제수,소듐하이드록사이드,향료,피이지-400,콩추출물,피이지-32,토코페롤"
아토베리어365 로션,에스트라,"33,000","['내용물의 용량 또는 중량 150ml', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 36개월 (개봉 후 1년)', '사용방법 아침, 저녁 적당량의 내용물을 덜어 얼굴에 부드럽게 펴 발라 흡수시켜줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)코스비전/(주)아모레퍼시픽', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 부틸렌글라이콜, 글리세린, 다이메티콘, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 베타인, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 카프릴릭/카프릭트라이글리세라이드, 팔미틱애씨드, 1,2-헥산다이올, 스테아릭애씨드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 글리세릴스테아레이트, 하이드록시프로필비스팔미타마이드엠이에이, 글리세릴스테아레이트시트레이트, 콜레스테롤, 나이아신아마이드, 다이메티콘올, 하이드록시프로필비스라우라마이드엠이에이, 베헤닐알코올, 글리세릴카프릴레이트, 카보머, 다이소듐이디티에이, 에틸헥실글리세린, 트로메타민, 솔비탄아이소스테아레이트, 피토스핑고신, 만니톨, 세라마이드엔피, 토코페롤, 하이드로제네이티드레시틴, 아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 스핑고리피드, 아라키딕애씨드, 올레익애씨드', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 본 제품에 이상이 있을 경우, 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상해 드립니다.', '소비자상담 전화번호 고객상담실 : 080-023-3900']",['./prdimgs/page_1_prd_1_thumb1.jpg'],150ml,36개월 (개봉 후 1년),"정제수, 부틸렌글라이콜, 글리세린, 다이메티콘, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 베타인, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 카프릴릭/카프릭트라이글리세라이드, 팔미틱애씨드, 1,2-헥산다이올, 스테아릭애씨드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 글리세릴스테아레이트, 하이드록시프로필비스팔미타마이드엠이에이, 글리세릴스테아레이트시트레이트, 콜레스테롤, 나이아신아마이드, 다이메티콘올, 하이드록시프로필비스라우라마이드엠이에이, 베헤닐알코올, 글리세릴카프릴레이트, 카보머, 다이소듐이디티에이, 에틸헥실글리세린, 트로메타민, 솔비탄아이소스테아레이트, 피토스핑고신, 만니톨, 세라마이드엔피, 토코페롤, 하이드로제네이티드레시틴, 아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 스핑고리피드, 아라키딕애씨드, 올레익애씨드"
1025 독도 로션,라운드랩,"39,000","['내용물의 용량 또는 중량 400ml', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월, 개봉 후 12개월', '사용방법 세안 후 토너로 피부결을 정돈하고, 적당량을 덜어 얼굴 전체에 부드럽게 펴 발라줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 화장품 제조업자: 코스맥스㈜ | 화장품 책임판매업자: 서린컴퍼니㈜', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 글리세린, 퀸즈랜드넛오일, 1,2-헥산다이올, 펜틸렌글라이콜, 아이리쉬모스추출물, 사탕수수추출물, 해수, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 판테놀, 스쿠알란, 부틸렌글라이콜, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 글리세릴스테아레이트, 하이드로제네이티드폴리데센, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 호호바에스터, 카프릴릴글라이콜, 트로메타민, 소듐파이테이트, 토코페롤, 소듐카복시메틸베타-글루칸, 에틸헥실글리세린, 세테아릴알코올, 카보머', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '품질보증기준 본 상품에 이상이 있을 경우, 공정거래위원회 고시 소비자분쟁해결기준에 의해 보상해드립니다.', '소비자상담 전화번호 070-7717-0675']","['./prdimgs/page_1_prd_2_thumb1.jpg', './prdimgs/page_1_prd_2_thumb2.jpg', './prdimgs/page_1_prd_2_thumb3.jpg']",400ml,"제조일로부터 36개월, 개봉 후 12개월","정제수, 글리세린, 퀸즈랜드넛오일, 1,2-헥산다이올, 펜틸렌글라이콜, 아이리쉬모스추출물, 사탕수수추출물, 해수, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 판테놀, 스쿠알란, 부틸렌글라이콜, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 글리세릴스테아레이트, 하이드로제네이티드폴리데센, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 호호바에스터, 카프릴릴글라이콜, 트로메타민, 소듐파이테이트, 토코페롤, 소듐카복시메틸베타-글루칸, 에틸헥실글리세린, 세테아릴알코올, 카보머"
더모이스처 배리어 D 로션,닥터지,"37,000","['내용물의 용량 또는 중량 로션 300ml + 밤 1g', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 36개월(개봉 후 12개월)', '사용방법 적당량을 덜어 골고루 펴 바른 후 두드리 듯이 흡수시켜 줍니다.', '*건조하고 민감한 얼굴과 몸에 모두 사용 가능한 제품으로 건조함이 느껴지는 부위에 덧발라 사용해주세요.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 제조업자 : (주)아이썸/화장품책임판매업자: (주)고운세상코스메틱', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 1. 더모이스처 배리어 D 로션', '정제수, 프로판다이올, 하이드로제네이티드폴리데센, 스쿠알란, 폴리글리세릴-3다이스테아레이트, 글리세린, 비닐다이메티콘, 실리카, 솔비탄스테아레이트, 1,2-헥산다이올, 세테아릴올리베이트, 세라마이드엔피, 카프릴릴글라이콜, 솔비탄올리베이트, 올리브오일불검화물, 하이드로제네이티드레시틴, 글리세릴스테아레이트시트레이트, 폴리아크릴레이트크로스폴리머-6, 글리세릴글루코사이드, 잔탄검, 돌콩오일불검화물, 밀배아오일불검화물, 토코페롤, 아이소말트, 수크로오스코코에이트, 콜레스테롤, 글루코노락톤, 에틸헥실글리세린, 팔미틱애씨드, 카프릴릭/카프릭트라이글리세라이드, 꽃가루추출물, 다이소듐이디티에이, 소듐하이알루로네이트, 자일리틸글루코사이드, 안하이드로자일리톨, t-부틸알코올, 폴리글리세릴-10스테아레이트, 폴리글리세릴-10올리에이트, 자일리톨, 글루코오스, 알루미늄/마그네슘하이드록사이드스테아레이트, 미리스틱애씨드, 흰목이버섯폴리사카라이드, 소듐스테아로일글루타메이트, 스테아릭애씨드, 7-데하이드로콜레스테롤, 소듐아스코빌포스페이트, 칼슘클로라이드, 포도즙추출물, 피톨', '', '2. 더 모이스처 배리어 D 밤', '정제수, 글리세린, 다이프로필렌글라이콜, 사이클로펜타실록세인, 다이카프릴릴에터, 세테아릴알코올, 베헤닐알코올, 1,2-헥산다이올, 다이메티콘, 글리세릴글루코사이드, 다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트, 세테아릴올리베이트, 솔비탄올리베이트, 다시마추출물, 한련초잎추출물, 병풀추출물, 무화과추출물, 꽃가루추출물, 하이드로제네이티드레시틴, 올리브오일, 퀸즈랜드넛오일, 포도씨오일, 호호바씨오일, 팔미틱애씨드, 스테아릭애씨드, 다이메티콘올, 글리세릴스테아레이트에스이, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 세테아릴글루코사이드, 베타-글루칸, 콜레스테롤, 잔탄검, 프룩토올리고사카라이드, 다이소듐이디티에이, 세라마이드엔피, 식물성스쿠알란, 미리스틱애씨드, 하이드롤라이즈드하이알루로닉애씨드, 올리브오일불검화물, 밀배아오일불검화물, 돌콩오일불검화물, 글루코오스, 아이소말트, 카프릴릭/카프릭트라이글리세라이드, 돌콩스테롤, 리놀레익애씨드, 포스포리피드, 수크로오스팔미테이트, 폴리글리세릴-10스테아레이트, 폴리글리세릴-10올리에이트, 알루미늄/마그네슘하이드록사이드스테아레이트, 소듐스테아로일글루타메이트, 7-데하이드로콜레스테롤, 칼슘클로라이드, 피톨, 향료, 에틸헥실글리세린', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 . 공통사항', '1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점,', '부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의', '등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 본 상품에 이상이 있을 경우 공정거래위원회 고시""소비자 분쟁 해결 기준""에 의해 보상해 드립니다.', '소비자상담 전화번호 ㈜고운세상코스메틱 1811-9415']","['./prdimgs/page_1_prd_3_thumb1.jpg', './prdimgs/page_1_prd_3_thumb2.jpg', './prdimgs/page_1_prd_3_thumb3.jpg', './prdimgs/page_1_prd_3_thumb4.jpg']",300ml,36개월(개봉 후 12개월),1. 더모이스처 배리어 D 로션
DMT 페이셜 로션,피지오겔,"38,000","['내용물의 용량 또는 중량 200ml+50ml', '제품 주요 사양 모든피부용..', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월.', '사용방법 적당량을 취하여 얼굴 피부에 마사지하듯 두드려 흡수지켜 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)엘지생활건강', '제조국 태국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 펜틸렌글라이콜, 코코넛야자오일, 오일팜오일, 시어버터, 올리브오일, 하이드로제네이티드레시틴, 하이드록시에틸셀룰로오스, 카프릴릴글라이콜, 잔탄검, 스쿠알란, 카보머, 소듐카보머, 세라마이드엔피', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의등과 상담할 것.', '2) 상처가 있는 부위 등에는 사용을 자제할 것.', '3) 보관 및 취급 시의 주의사항.', '가) 어린이의 손이 닿지 않는 곳에 보관할 것.', '나) 직사광선을 피해서 보관할 것.', '품질보증기준 제품에 이상이 있을 경우 공정거래위원회고시 소비자분쟁해결기준에 의거 교환 또는 환불 받을 수 있음.', '소비자상담 전화번호 080-023-7007 (수신자 부담)']","['./prdimgs/page_1_prd_4_thumb1.jpg', './prdimgs/page_1_prd_4_thumb2.jpg', './prdimgs/page_1_prd_4_thumb3.jpg']",200ml+50ml,제조일로부터 36개월.,"정제수, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 펜틸렌글라이콜, 코코넛야자오일, 오일팜오일, 시어버터, 올리브오일, 하이드로제네이티드레시틴, 하이드록시에틸셀룰로오스, 카프릴릴글라이콜, 잔탄검, 스쿠알란, 카보머, 소듐카보머, 세라마이드엔피"
올인원,우르오스,"29,700","['내용물의 용량 또는 중량 ■ 200ml', '제품 주요 사양 ■ 중건성 피부를 위한 밀크타입 스킨케어 [ 2 in 1 ]', '사용기한(또는 개봉 후 사용기간) ■ 제조일로부터 (36개월/3년)이내의 상품을 순차적으로 발송, 유통기한 개봉후 12개월', '사용방법 면도, 세안 또는 샤워 후 적당량을 손에 덜어 발라 주십시오.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ■ 제조자 : Otsuka Phamrceuticl Co., Ltd ■ 판매자 : 한국오츠카제약', '제조국 일본', '화장품법에 따라 기재해야 하는 모든 성분 ■ 우르오스 올인원 스킨밀크 200ml', '정제수, 글리세린, 하이드로제네이티드폴리(C6-12올레핀), 에탄올, 폴리글리세릴-10아이소스테아레이트, 아데노신포스페이트, 하이드록시프로필사이클로덱스트린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 부틸렌글라이콜, 글리세릴카프릴레이트, 폴리글리세릴-10스테아레이트, 소듐아이소스테아로일락테이트, 소듐락테이트, 소듐하이드록사이드, 클로브꽃추출물, 사철쑥꽃추출물, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 터펜틴, 리날룰, 리모넨', '', '■ 우르오스 올인원 스킨로션 200ml', '정제수, 에탄올, 펜틸렌글라이콜, 글리세린, 베타인, 피이지-6, 피이지-32, 아데노신포스페이트, 소듐하이드록사이드, 소듐다이라우미도글루타미드라이신, 피피지-6-데실테트라데세스-30, 알진, 시트릭애씨드, 소듐하이알루로네이트, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 페녹시에탄올, 터펜틴, 리날룰', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점,부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 ■본 제품에 이상이 있을 경우 공정거래위원회고시 소비자분쟁해결기준에 의해 보상해 드립니다.', '소비자상담 전화번호 ■ 080-090-5654']",['./prdimgs/page_1_prd_5_thumb1.jpg'],200ml,"■ 제조일로부터 (36개월/3년)이내의 상품을 순차적으로 발송, 유통기한 개봉후 12개월",■ 우르오스 올인원 스킨밀크 200ml
스킨밀크,우르오스,"29,700","['내용물의 용량 또는 중량 ■ 200ml', '제품 주요 사양 ■ 중건성 피부를 위한 밀크타입 스킨케어 [ 2 in 1 ]', '사용기한(또는 개봉 후 사용기간) ■ 제조일로부터 (36개월/3년)이내의 상품을 순차적으로 발송, 유통기한 개봉후 12개월', '사용방법 ■면도, 세안 또는 샤워 후 적당량을 손에 덜어 발라 주십시오.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ■ 제조자 : Otsuka Phamrceuticl Co., Ltd ■ 판매자 : 한국오츠카제약', '제조국 ■ 일본', '화장품법에 따라 기재해야 하는 모든 성분 ■ 정제수, 글리세린, 하이드로제네이티드폴리(C6-12올레핀), 에탄올, 폴리글리세릴-10아이소스테아레이트, 아데노신포스페이트, 하이드록시프로필사이클로덱스트린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 부틸렌글라이콜, 글리세릴카프릴레이트, 폴리글리세릴-10스테아레이트, 소듐아이소스테아로일락테이트, 소듐락테이트, 소듐하이드록사이드, 클로브꽃추출물, 사철쑥꽃추출물, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 터펜틴, 리날룰, 리모넨', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점,', '부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의', '등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 ■본 제품에 이상이 있을 경우 공정거래위원회고시 소비자분쟁해결기준에 의해 보상해 드립니다.', '소비자상담 전화번호 ■ 080-090-5654']",['./prdimgs/page_1_prd_6_thumb1.jpg'],200ml,"■ 제조일로부터 (36개월/3년)이내의 상품을 순차적으로 발송, 유통기한 개봉후 12개월","■ 정제수, 글리세린, 하이드로제네이티드폴리(C6-12올레핀), 에탄올, 폴리글리세릴-10아이소스테아레이트, 아데노신포스페이트, 하이드록시프로필사이클로덱스트린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 부틸렌글라이콜, 글리세릴카프릴레이트, 폴리글리세릴-10스테아레이트, 소듐아이소스테아로일락테이트, 소듐락테이트, 소듐하이드록사이드, 클로브꽃추출물, 사철쑥꽃추출물, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 터펜틴, 리날룰, 리모넨"
레드수딩 AI 진정보습 로션,피지오겔,"37,500","['내용물의 용량 또는 중량 200ml', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 제조일자로부터 36개월', '사용방법 적당량을 취하여 피부에 마사지하듯 두드려 흡수시켜 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)엘지생활건강', '제조국 태국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 카프릴릭/카프릭트리글리세라이드, 글리세린, 펜틸렌글라이콜, 쉐어버 터, 하이드로제네이티드레시틴, 팔미타마이드엠이에이, 하이드록시에칠셀룰로 오스, 카프릴릴글라이콜, 잔탄검, 베타인, 스쿠알란, 사코신, 아세트아마이드엠 이에이, 소듐카보머, 카보머, 세라마이드엔피(세라마이드3)', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 제품에 이상이 있을 경우 공정거래위원회고시 소비자분쟁해결기준에 의거 교환 또는 환불받을 수 있음.', '소비자상담 전화번호 080-023-7007']",['./prdimgs/page_1_prd_7_thumb1.jpg'],200ml,제조일자로부터 36개월,"정제수, 카프릴릭/카프릭트리글리세라이드, 글리세린, 펜틸렌글라이콜, 쉐어버 터, 하이드로제네이티드레시틴, 팔미타마이드엠이에이, 하이드록시에칠셀룰로 오스, 카프릴릴글라이콜, 잔탄검, 베타인, 스쿠알란, 사코신, 아세트아마이드엠 이에이, 소듐카보머, 카보머, 세라마이드엔피(세라마이드3)"
더 심플 데일리 로션,싸이닉,"18,000","['내용물의 용량 또는 중량 260ml', '제품 주요 사양 모든피부용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 개봉 전 30개월, 개봉 후 12개월', '사용방법 적당량을 덜어 얼굴 전체에 부드럽게 펴 발라 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 코스메카코리아/십일번가주식회사', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 프로판다이올, 펜틸렌글라이콜, 비닐다이메티콘, 글리세린, 세틸에칠헥사노에이트, 알바수련꽃추출물, 알로에베라잎즙, 부틸렌글라이콜, 마데카소사이드, 세테아릴올리베이트, 카보머, 솔비탄올리베이트, 트로메타민, 소듐하이알루로네이트', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어', '오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과', '상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '품질보증기준 본 제품은 공정거래위원회 고시 소비자분쟁해결 기준에 의해 보상받을 수 있습니다.', '소비자상담 전화번호 1599-6688']","['./prdimgs/page_1_prd_8_thumb1.jpg', './prdimgs/page_1_prd_8_thumb2.jpg']",260ml,"제조일로부터 개봉 전 30개월, 개봉 후 12개월","정제수, 프로판다이올, 펜틸렌글라이콜, 비닐다이메티콘, 글리세린, 세틸에칠헥사노에이트, 알바수련꽃추출물, 알로에베라잎즙, 부틸렌글라이콜, 마데카소사이드, 세테아릴올리베이트, 카보머, 솔비탄올리베이트, 트로메타민, 소듐하이알루로네이트"
스킨로션,우르오스,"29,700","['내용물의 용량 또는 중량 ■ 200ml', '제품 주요 사양 ■ 지복합성 피부를 위한 워터타입 스킨케어 [ 2 in 1 ]', '사용기한(또는 개봉 후 사용기간) ■ 제조일로부터 (36개월/3년)이내의 상품을 순차적으로 발송, 유통기한 개봉후 12개월', '사용방법 ■ 면도, 세안 또는 샤워 후 적당량을 손에 덜어 발라 주십시오.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ■ 제조자 : Otsuka Phamrceuticl Co., Ltd ■ 판매자 : 한국오츠카제약', '제조국 ■ 일본', '화장품법에 따라 기재해야 하는 모든 성분 ■ 정제수, 에탄올, 펜틸렌글라이콜, 글리세린, 베타인, 피이지-6, 피이지-32, 아데노신포스페이트, 소듐하이드록사이드, 소듐다이라우미도글루타미드라이신, 피피지-6-데실테트라데세스-30, 알진, 시트릭애씨드, 소듐하이알루로네이트, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 페녹시에탄올, 터펜틴, 리날룰', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 ■ 본 제품에 이상이 있을 경우 공정거래위원회고시 소비자분쟁해결기준에 의해 보상해 드립니다.', '소비자상담 전화번호 ■ 080-090-5654']",['./prdimgs/page_1_prd_9_thumb1.jpg'],200ml,"■ 제조일로부터 (36개월/3년)이내의 상품을 순차적으로 발송, 유통기한 개봉후 12개월","■ 정제수, 에탄올, 펜틸렌글라이콜, 글리세린, 베타인, 피이지-6, 피이지-32, 아데노신포스페이트, 소듐하이드록사이드, 소듐다이라우미도글루타미드라이신, 피피지-6-데실테트라데세스-30, 알진, 시트릭애씨드, 소듐하이알루로네이트, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 페녹시에탄올, 터펜틴, 리날룰"
