브랜드,시군구별,도로명주소,사업장명,위도,경도
이디야,성북구,"서울특별시 성북구 돌곶이로22길 3, 1층 (석관동)",이디야 돌곶이역점,37.61020752396141,127.05521293633322
이디야,송파구,"서울특별시 송파구 양재대로 932, 가락동 농수산물도매시장 가락몰 3관 3층 1-1호 (가락동)",이디야 가락몰점,37.49348282535984,127.10861364248257
이디야,구로구,"서울특별시 구로구 경인로 397, 골든타워빌딩 별관동 지상1층 101호 (고척동)",이디야 고척스카이돔점,37.49772814366558,126.86093276853805
이디야,종로구,"서울특별시 종로구 삼일대로 436-1, 1층 (낙원동)",이디야커피,37.57359366765545,126.9851395998529
이디야,광진구,"서울특별시 광진구 자양로 251, 1층 (구의동)",이디야커피 구의자양로점,37.54901241204011,127.08640192687817
이디야,강동구,"서울특별시 강동구 천호대로 1132, 1층 101~103호 (성내동)",이디야커피 길동사거리점,37.53404396691395,127.1340622710793
이디야,강동구,"서울특별시 강동구 아리수로93길 19 (강일동, 강일임페리얼타워 106호)",이디야,37.568131553449305,127.172020850575
이디야,종로구,"서울특별시 종로구 경희궁1길 16, 1층 (신문로2가)",이디야 경희궁점,37.571667387159465,126.96781170757679
이디야,서초구,"서울특별시 서초구 강남대로 589, 멀버리힐스 E104호 (잠원동)",이디야(EDIYA)신사멀버리힐스점,37.514387704576976,127.01625979748873
이디야,송파구,"서울특별시 송파구 송파대로 111, 법조대로205동 1층 108호일부,109호 (문정동, 파크하비오 하비오타워)",이디야 커피 송파 하비오점,37.48060473470015,127.12077621105094
이디야,은평구,"서울특별시 은평구 통일로 951, 1층 (갈현동)",이디야 커피 서광교회점,37.6277710828153,126.91620942814201
이디야,강남구,"서울특별시 강남구 논현로131길 28, 지상1층 (논현동)",이디야 논현학동점,37.51407623118278,127.02520029446853
이디야,중구,"서울특별시 중구 명동8가길 7, 1층 (충무로2가)",이디야 명동거리점,37.56175773649424,126.9825126353421
이디야,강서구,"서울특별시 강서구 공항대로 437, 주신기업(주) 1층 101호 (등촌동)",이디야 강서교차로점,37.55501630823324,126.8530199509943
이디야,영등포구,"서울특별시 영등포구 영등포로35가길 1, 지하1층 (영등포동6가)",이디야,37.52187026765387,126.90135044191885
이디야,중랑구,"서울특별시 중랑구 면목로 429, 1층 상가 102호 (면목동, 킴스아파트)",이디야 면목역점,37.590208291625196,127.0838197073106
이디야,성북구,"서울특별시 성북구 정릉로 251 (정릉동, 161-17 1층)",이디야커피전문점,37.604719522737696,127.00907479546034
이디야,노원구,"서울특별시 노원구 상계로 313, 1층 (상계동)",이디야커피 당고개역점,37.67084149152015,127.07748748024049
이디야,중랑구,"서울특별시 중랑구 동일로 932, 1층 2-120호 (묵동, 묵동자이아파트)",이디야 중랑묵동점,37.613845887264716,127.07466258161615
이디야,도봉구,"서울특별시 도봉구 해등로 255, 101동 지상2층 209,225호 (쌍문동, 신원에벤에셀상가)",이디야커피(선덕고사거리점),37.65736806355081,127.02534832230994
이디야,도봉구,"서울특별시 도봉구 해등로 157, 1층 (쌍문동)",이디야커피도봉보건소사거리점,37.65677119157902,127.03593045642845
이디야,영등포구,"서울특별시 영등포구 대림로 212, 1층 (대림동)",이디야대림3동점 주식회사 앙크인베스트먼트,37.49958457344302,126.89529703286617
이디야,강동구,"서울특별시 강동구 아리수로93나길 76, 1층 106,107호 (강일동)",이디야커피 고덕강일2지구점,37.57241175370082,127.1729803497192
이디야,구로구,"서울특별시 구로구 고척로 228-6, 종만빌딩 (고척동)",이디야 고척사거리점,37.50583164041245,126.85539223228956
이디야,영등포구,"서울특별시 영등포구 경인로 846, 영등포 민자역사 맞이방 지하1층 (영등포동)",이디야커피 영등포역사점,37.51592320512368,126.90448248849539
이디야,구로구,"서울특별시 구로구 구로중앙로 228, 기임빌딩 1층 106,107,108호 (신도림동)",이디야 구로미성점,37.50620728879055,126.87378854227056
이디야,송파구,"서울특별시 송파구 백제고분로 126, 오룡빌딩 1층 103,104호 (잠실동)",이디야 서울삼성내과점,37.50616045593236,127.07785561789176
이디야,송파구,"서울특별시 송파구 백제고분로27길 5, 1층, 2층 (삼전동)",이디야커피 삼전중앙점,37.503693193124526,127.08967756472825
이디야,종로구,"서울특별시 종로구 자하문로 7, 성명빌딩 1층 (체부동)",이디야 경복궁역점,37.57671251872338,126.96931877963468
이디야,관악구,"서울특별시 관악구 쑥고개로 80, 제이빌딩 1층 (봉천동)",이디야커피 청룡중앙점,37.4791768542312,126.94237053324393
이디야,서초구,"서울특별시 서초구 남부순환로 2364, 국립국악원 예악당 1층 (서초동)",이디야 국립국악원 예악당,37.478359368721726,127.00618276051094
이디야,중랑구,"서울특별시 중랑구 동일로 643, 늘찬병원 1층 (면목동)",이디야 면목늘찬병원점,37.587979247191505,127.07674133853126
이디야,구로구,"서울특별시 구로구 구일로 110 (구로동, 혜원리버파크 1층 112,113호)",이디야커피 구일역점,37.49505748421133,126.86911673954289
이디야,종로구,"서울특별시 종로구 난계로29길 30, 1층 (숭인동)",이디야에스프레소신설점,37.574239282423264,127.0185831462187
이디야,강서구,"서울특별시 강서구 수명로 68-27, 1층 103~104호 (내발산동, 웨스트엔드문화센터)",이디야커피 마곡수명산점,37.55267746179914,126.82379170506722
이디야,동작구,"서울특별시 동작구 노들로2길 7, 노량진 드림스퀘어 복합빌딩 1층 C113, C114호 (노량진동)",이디야노량진드림스퀘어점,37.514324769740355,126.93649251891598
이디야,강남구,"서울특별시 강남구 역삼로52길 14, 도곡프라자 지상1층 102호 (역삼동)",이디야커피 역삼월드점,37.498529441596716,127.04505874279421
이디야,노원구,"서울특별시 노원구 한글비석로 409, 1,2층 (상계동)",이디야상계역사거리점,37.66112704841939,127.0679558355862
이디야,송파구,"서울특별시 송파구 백제고분로 263, 지상1층 (삼전동)",이디야 삼전역점,37.502791594474594,127.09291059035033
이디야,영등포구,"서울특별시 영등포구 63로 40, 지하1층 44호동 (여의도동,라이프오피스텔)",이디야라이프점,37.5194943418343,126.93638182947157
이디야,중구,"서울특별시 중구 마장로 30, Team204 3층 (신당동)",이디야 동대문 팀204점,37.5676430126511,127.01059002423013
이디야,성북구,"서울특별시 성북구 삼선교로10길 45 (삼선동2가,(102호))",이디야 커피 한성대점,37.58618801416654,127.00712622757732
이디야,서대문구,"서울특별시 서대문구 홍제천로 146-9, 1층 (연희동)",이디야커피 연희홍연길점,37.576374737111784,126.92714786965348
이디야,관악구,"서울특별시 관악구 신림로46길 1, 서원동성당 지하1층 (신림동)",이디야,37.47846550587719,126.93061694403062
이디야,용산구,"서울특별시 용산구 한강대로 138, 1층 (한강로2가)",이디야커피 삼각지점,37.53144585375199,126.9675715845886
이디야,성동구,"서울특별시 성동구 사근동길 4 (행당동,(지상1층))",이디야커피(한양대점),37.55994511705181,127.03865929123103
이디야,강남구,"서울특별시 강남구 삼성로 608, 우창빌딩 지상1층 (삼성동)",이디야커피 삼성중앙역점,37.513872434686,127.0503669441784
이디야,광진구,"서울특별시 광진구 아차산로30길 8, 2층 (자양동)",이디야,37.54041674313877,127.06471735148868
이디야,광진구,"서울특별시 광진구 광나루로 508, 1층 102,103호 (구의동)",이디야커피,37.54473816416421,127.08304052353598
이디야,동대문구,"서울특별시 동대문구 경희대로 26, 호텔관광대학 1층 (회기동)",(주)이디야경희대캠퍼스점,37.596712592280625,127.04850461927285
이디야,성북구,"서울특별시 성북구 장위로 35, 1층 (장위동)",EDIYA COFFEE 이디야커피 장위중앙점,37.61446187598124,127.03788798566819
이디야,마포구,"서울특별시 마포구 성미산로 78 (성산동, 1층일부)",이디야 성산중앙점,37.56031347291956,126.91377378774465
이디야,양천구,"서울특별시 양천구 지양로 79, 지상1층 (신월동)",이디야신월7동점,37.52242408599604,126.8300728770709
이디야,양천구,"서울특별시 양천구 신정로11길 50-15, 지상1층 (신정동)",이디야 신정서부점,37.512220213051506,126.83545757538452
이디야,양천구,"서울특별시 양천구 목동중앙로 85, 지하1층 101호 (목동, 강산아파트제1동)",이디야커피목동신목점,37.537020731353486,126.86856864977501
이디야,강서구,"서울특별시 강서구 등촌로 67, 컴스웨이빌딩 1층 (등촌동)",이디야커피 등촌중앙점,37.536082969123264,126.86027189854474
이디야,강서구,"서울특별시 강서구 등촌로5길 80, 1층 (화곡동, 4동)",이디야 화곡남부시장점,37.53306029419341,126.85607225165664
