브랜드,시군구별,도로명주소,사업장명,위도,경도
메가커피,종로구,"서울특별시 종로구 종로 377, 1층 (숭인동)",메가엠지씨커피 종로숭인점,37.57435494220553,127.01653316384484
메가커피,강남구,"서울특별시 강남구 압구정로 338, 지상1층 3호 (신사동)",메가엠지씨커피 압구정로데오역점,37.527921382232044,127.03601117076751
메가커피,금천구,"서울특별시 금천구 벚꽃로 40, 113동 107호 (독산동, 금천롯데캐슬골드파크1차아파트)",메가엠지씨커피 금천롯데캐슬,37.4597520859571,126.89157042259676
메가커피,광진구,"서울특별시 광진구 용마산로 114, 경동빌딩 1층 103호 (중곡동)",메가엠지씨커피 중곡대원점,37.56387813253746,127.08422151214981
메가커피,중구,"서울특별시 중구 다산로36길 36, 1층 1호 (신당동)",메가엠지씨커피 청구신당점,37.561858616157174,127.01399330223218
메가커피,노원구,"서울특별시 노원구 월계로45길 37, 성진빌딩 1층 (월계동)",메가엠지씨커피 노원월계초점,37.62699661272826,127.04747366125787
메가커피,송파구,"서울특별시 송파구 송이로 239, 도은빌딩 1층 3호 (문정동)",메가엠지씨커피 송파문정공원점,37.487985312660186,127.12895933949949
메가커피,노원구,"서울특별시 노원구 동일로 1596, 송현빌딩 1층 (상계동)",메가엠지씨커피 상계수락점,37.67086570488762,127.05378416349497
메가커피,마포구,"서울특별시 마포구 서강로 55, 서강쌍용예가 제근린생활시설(2단지) 1층 101,102호 (창전동)",메가엠지씨커피 광흥창역점,37.548362521628825,126.92654949447609
메가커피,구로구,"서울특별시 구로구 부일로1길 26-12, 지하1층 제B05호 (온수동, 다청림시티)",메가엠지씨커피 온수역점,37.49224609628628,126.8183336856138
메가커피,양천구,"서울특별시 양천구 중앙로 265, 1층 (신정동)",메가엠지씨커피 신정네거리역점,37.519919097721726,126.849729395694
메가커피,송파구,"서울특별시 송파구 백제고분로41길 6, 1층 (송파동)",메가엠지씨커피 석촌점,37.506818525796824,127.10569964538001
메가커피,중랑구,"서울특별시 중랑구 양원역로 22-1, 동원빌딩 1층 (망우동)",메가엠지씨커피 중랑망우점,37.60267166016146,127.10516079189988
메가커피,중랑구,"서울특별시 중랑구 봉화산로 233-1, 1층 101호 (신내동, 리치하우스)",메가엠지씨커피 신내동성점,37.60829634201079,127.09576577580314
메가커피,서초구,"서울특별시 서초구 방배로 58, 1층 105호 (방배동)",메가엠지씨커피 방배백석점,37.48003436096372,126.99606226485186
메가커피,동작구,"서울특별시 동작구 흑석로 21, 1층 101호 (상도동)",메가엠지씨커피 중대후문점,37.5050754982717,126.95022355610145
메가커피,동대문구,"서울특별시 동대문구 한천로 60, 1층 (장안동)",메가엠지씨커피 동대문한천로점,37.5669650178557,127.05965852736867
메가커피,금천구,"서울특별시 금천구 벚꽃로 286, 삼성리더스타워 지하 1층 B103호 (가산동)",메가엠지씨커피 가산리더스타워점,37.480368378705315,126.88128635131997
메가커피,서초구,"서울특별시 서초구 강남대로 156-2, 1층 102호 (양재동)",메가엠지씨커피 서초양재점,37.4785832816177,127.03619721290512
메가커피,동대문구,"서울특별시 동대문구 답십리로 130, 근린생활3동 1층 제3-1호 (답십리동, 래미안위브)",메가엠지씨커피 답십리1동점,37.57203776879877,127.05106186092313
메가커피,영등포구,"서울특별시 영등포구 선유로 76, 동국메뜨리앙 1층 108호 (문래동3가)",메가엠지씨커피 영등포문래점,37.52065226930659,126.88703215588892
메가커피,강남구,"서울특별시 강남구 일원로9길 7, 지상1층 (일원동)",메가엠지씨커피 일원맛의거리점,37.48963944785442,127.07928654121592
메가커피,구로구,"서울특별시 구로구 경인로 403, 원메디타운 A동 101호 (고척동)",메가엠지씨커피 고척중앙점,37.49807148532709,126.86132797805807
메가커피,관악구,"서울특별시 관악구 신림로 90, 1층 (신림동)",메가엠지씨커피 신림프라임법학원점,37.470950035080755,126.93648997232842
메가커피,서초구,"서울특별시 서초구 효령로55길 28, 1층 106호 (서초동)",메가엠지씨커피 서초샤르망점,37.48612241434358,127.01162425820462
메가커피,마포구,"서울특별시 마포구 신촌로 236-1, 1층 (아현동)",메가엠지씨커피 아현중앙점,37.5568989878689,126.94903803521358
메가커피,광진구,"서울특별시 광진구 아차산로 481, 구의동20020빌딩 1층 (구의동)",메가엠지씨커피올림픽대교북단점,37.54093677083591,127.09209521882944
메가커피,서초구,"서울특별시 서초구 강남대로79길 10, 1층 (반포동)",메가엠지씨커피 교보타워사거리점,37.50531249869639,127.02032527928834
메가커피,종로구,"서울특별시 종로구 송월길 99, 1층 2136호 (홍파동, 경희궁자이 2단지)",메가 엠지씨 커피 서대문경희궁자이점,37.57083001959838,126.96067067114568
메가커피,강동구,"서울특별시 강동구 동남로75길 13-15, 성은빌딩 1층 (명일동)",메가엠지씨커피 고덕역점,37.553617560720866,127.15265174160203
메가커피,강남구,"서울특별시 강남구 논현로85길 52, 역삼 푸르지오 시티 지상1층 101호-1호 (역삼동)",메가엠지씨커피 역삼테헤란로점,37.49817676092688,127.03075343548494
메가커피,관악구,"서울특별시 관악구 신림로 272, 대원빌딩 1층 101호 (신림동)",메가엠지씨커피서원역점,37.479156373336544,126.92915771365779
메가커피,강서구,"서울특별시 강서구 양천로 401, 강서한강자이타워 B동 1층 106호 (가양동)",메가엠지씨커피 강서한강자이타워점,37.56555014784176,126.84510847408976
메가커피,마포구,"서울특별시 마포구 망원로 79, 1층 (망원동)",메가엠지씨커피 망원시장점,37.55764046828889,126.90269035036005
메가커피,은평구,"서울특별시 은평구 통일로 809, 1층 (대조동)",메가엠지씨커피 은평대조점,37.616066023897886,126.92097106322987
메가커피,서초구,"서울특별시 서초구 매헌로 16, 지하1층 101, 102(일부)호 (양재동)",메가엠지씨커피 양재이마트점,37.46339529692584,127.0341233654835
메가커피,중구,"서울특별시 중구 퇴계로 72, 101호 (회현동1가, 리더스뷰남산)",메가엠지씨커피 회현SK리더스뷰점,37.55912667622506,126.97774632214926
메가커피,강남구,"서울특별시 강남구 남부순환로378길 12, 지상1층 (도곡동)",메가엠지씨커피 매봉역점,37.48542836756421,127.04291647824728
메가커피,송파구,"서울특별시 송파구 위례광장로 193, 대길프라자 1층 1-1호 (장지동)",메가엠지씨커피 위례광장점,37.48174248668535,127.13932757828455
메가커피,서대문구,"서울특별시 서대문구 신촌역로 23, 1층 101호 (대현동)",메가엠지씨커피 신촌기차역점,37.55869631799907,126.93953423033872
메가커피,양천구,"서울특별시 양천구 신정이펜1로 50, 상가동 1층 115~116호 (신정동, 신정이펜하우스3단지)",메가커피 신정이펜하우스점,37.512518889338054,126.82791235718246
메가커피,마포구,"서울특별시 마포구 와우산로 100, 1층 일부호 (서교동)",메가엠지씨커피 홍대정문점,37.55283620229199,126.92181397891775
메가커피,서대문구,"서울특별시 서대문구 통일로 147, 1층 (냉천동)",메가엠지씨커피 서대문역점,37.56731346635676,126.96200326636296
메가커피,구로구,"서울특별시 구로구 구로동로25길 3, 1층 (구로동)",메가엠지씨커피 구로고대병원점,37.49047934936577,126.88092449228286
메가커피,마포구,"서울특별시 마포구 창전로 35, 1층 (창전동)",메가엠지씨커피 구수동사거리점,37.54572899154139,126.92889213022607
메가커피,송파구,"서울특별시 송파구 백제고분로 354, 1층 (석촌동)",메가엠지씨커피 석촌한솔점,37.504233656771184,127.10272967903856
메가커피,도봉구,"서울특별시 도봉구 노해로41길 32, 1층 (쌍문동)",메가엠지씨커피 서울쌍문초점,37.649938458534024,127.02287554509131
메가커피,강서구,"서울특별시 강서구 양천로 28, 벽산에어트리움 본관동 제지층 101,102호 (방화동)",메가엠지씨커피 개화산역점,37.572356439965944,126.80406179993368
메가커피,양천구,"서울특별시 양천구 남부순환로 432, 1층 (신월동)",메가엠지씨커피 서서울호수공원점,37.52930986636872,126.82947986568726
메가커피,영등포구,"서울특별시 영등포구 여의대방로 137, 1층 (신길동)",메가엠지씨커피 보라매역점,37.49948611728732,126.9171408122803
메가커피,강남구,"서울특별시 강남구 언주로 314, 강남프라자 지상1층 104호 (역삼동)",메가엠지씨커피 역삼래미안점,37.49595514374071,127.04376712076889
메가커피,노원구,"서울특별시 노원구 한글비석로 235, 하나프라자빌딩 지상1층 101호 (중계동)",메가엠지씨커피(중계학원가점),37.64876488959995,127.07344830308277
메가커피,강남구,"서울특별시 강남구 광평로 280, 로즈데일오피스텔 지하2층 128호 (수서동)",메가엠지씨커피 수서역점,37.48732680885924,127.10025005000313
메가커피,강남구,"서울특별시 강남구 논현로 429, 지상1층,2층 (역삼동)",메가엠지씨커피 역삼GFC점,37.49914652397947,127.03453181721822
메가커피,동대문구,"서울특별시 동대문구 고산자로 481-1, 1층 (제기동)",메가엠지씨커피 제기약령시장점,37.58275734298777,127.03546113752202
메가커피,관악구,"서울특별시 관악구 대학6길 2, 1층 (신림동)",메가엠지씨커피 신림녹두거리점,37.46899237897102,126.93464071830246
메가커피,중구,"서울특별시 중구 남대문로 112, 1층 (남대문로1가)",메가엠지씨커피 을지로입구역점,37.56717066243492,126.9801266919399
메가커피,마포구,"서울특별시 마포구 백범로 34, 1층 (신수동)",메가MGC커피 서강대점,37.55170334788504,126.93442966562195
메가커피,중구,"서울특별시 중구 만리재로 177, 상가동 지하2층 108호 (만리동2가, 서울역한라비발디센트럴)",메가엠지씨커피 서울역한라비발디점,37.55511331473911,126.96290520667003
메가커피,영등포구,"서울특별시 영등포구 영중로 55, 1층 (영등포동6가)",메가엠지씨커피영등포위더스점,37.52132556569405,126.9017735981031
메가커피,중구,"서울특별시 중구 퇴계로 388-1, 1층 (신당동)",메가엠지씨커피 충무아트센터점,37.565005290293406,127.01184819994411
메가커피,중구,"서울특별시 중구 수표로6길 1, 금용빌딩 1층 103호 (충무로3가)",메가엠지씨커피 충무로저동점,37.56290005750679,126.98763620983988
메가커피,중구,"서울특별시 중구 청파로 457-1, 1층 (중림동)",메가엠지씨커피 중구중림점,37.560196487796766,126.96491173996179
메가커피,서대문구,"서울특별시 서대문구 연희로 271, 1층 (홍은동)",메가 엠지씨커피 서대문구청사거리점,37.58148768415069,126.9330545383586
메가커피,영등포구,"서울특별시 영등포구 당산로 164, 1층 (당산동4가)",메가엠지씨커피 영등포당산로점,37.52900619779438,126.89544595546015
메가커피,광진구,"서울특별시 광진구 능동로 179, 1층 (화양동)",메가엠지씨커피 어린이대공원역점,37.54665110169625,127.07062153612488
메가커피,금천구,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 지상1층 104-1호 (가산동)",메가엠지씨커피 가산그레이트밸리점,37.47949081027344,126.88464134010144
메가커피,구로구,"서울특별시 구로구 구일로4길 33, 종합상가 102호 (구로동)",메가엠지씨커피 구로주공점,37.492019300908176,126.87291368488182
메가커피,종로구,"서울특별시 종로구 진흥로 460, 지상 1, 2층 (구기동)",메가엠지씨커피 종로구기점,37.606735576340036,126.95618100506739
메가커피,동작구,"서울특별시 동작구 성대로 13, 1층 (상도동)",메가엠지씨커피 성대시장점,37.4999442817891,126.92976005580854
메가커피,강남구,"서울특별시 강남구 자곡로 114, 서강플라자 지상1층 103호 (자곡동)",메가엠지씨커피 강남못골도서관점,37.47202272142745,127.09311626623071
메가커피,동작구,"서울특별시 동작구 신대방길 114, 1층 (신대방동)",메가엠지씨커피 대림성모점,37.49047736975556,126.905544241607
메가커피,송파구,"서울특별시 송파구 올림픽로8길 11, 1층 (잠실동)",메가엠지씨 커피 종합운동장점,37.5108598820316,127.07740890126328
메가커피,성북구,"서울특별시 성북구 솔샘로 33, 제지1층 제비101,102호 (정릉동, 아이콘스타)",메가엠지씨커피 정릉중앙점,37.61050108278741,127.00212048305404
메가커피,영등포구,"서울특별시 영등포구 영등포로84길 16, 1층 (신길동)",메가엠지씨커피 신길성애병원점,37.5118128470237,126.91880063682085
메가커피,강남구,"서울특별시 강남구 역삼로 156, 태광빌딩 지상1층 103호 (역삼동)",메가엠지씨커피 강남역삼점,37.49472238758113,127.0333473989054
메가커피,용산구,"서울특별시 용산구 소월로20길 23, 씨호 1층 (용산동2가)",메가엠지씨커피 해방촌오거리점,37.54544454920125,126.98256173230479
메가커피,도봉구,"서울특별시 도봉구 방학로2길 35, 1층 (방학동)",메가엠지씨커피 방학중앙점,37.664508842246846,127.03789310347709
메가커피,강서구,"서울특별시 강서구 강서로 511, 1층 103호 (가양동, 한림타운)",메가엠지씨커피 강서가양점,37.570943652629325,126.83849172519709
메가커피,관악구,"서울특별시 관악구 난곡로 176, 1층 (신림동)",메가엠지씨커피 난곡우림시장점,37.47077244479012,126.9171884848041
메가커피,송파구,"서울특별시 송파구 양재대로 932, 가락동 농수산물도매시장 업무동 1층 (가락동)",엠엘(주) 메가엠지씨커피 가락몰점,37.493482825128346,127.10861364258434
메가커피,양천구,"서울특별시 양천구 목동중앙로 43, 1층 101호 (목동, 목동 글로리파크)",메가엠지씨커피 목동3단지점,37.53353778163159,126.86659977911309
메가커피,중구,"서울특별시 중구 명동9길 13, 1층 (명동1가)",메가엠지씨커피 명동길점,37.56440598411999,126.98189365419839
메가커피,서대문구,"서울특별시 서대문구 신촌로35길 10, 402엠동 1층 111-1호 (북아현동, 이편한세상신촌)",메가엠지씨커피 아현역점,37.55825908126239,126.95297089852428
